CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
V97496,166,0.005,0.035,4.62,0.616,0.079,0.048,324,45,1379,8,4,0.005
V97495,174,0.005,0.03,4.6,0.788,0.085,0.049,301,42,1400,8,3,0.004
V97494,169,0.005,0.033,4.64,0.822,0.088,0.049,305,45,1396,10,4,0.004
V97493,168,0.005,0.018,4.59,0.798,0.086,0.047,312,44,1400,7,4,0.004
V97492,166,0.005,0.031,4.64,0.64,0.072,0.046,299,44,,9,4,0.004
V97491,169,0.005,0.035,4.65,0.56,0.066,0.044,325,46,1352,8,3,0.007
V97490,164,0.005,0.036,4.63,0.88,0.073,0.042,441,70,,11,6,0.005
V97489,180,0.005,0.048,4.52,0.474,0.057,0.04,370,53,,11,5,0.009
V97488,177,0.005,0.057,4.53,0.419,0.047,0.039,429,60,1389,11,5,0.01
V97487,168,0.005,0.031,4.54,1.04,0.095,0.046,304,47,1381,7,4,0.004
V97486,158,0.005,0.021,4.71,1.2,0.11,0.049,260,36,1384,7,3,0.004
V97485,162,0.005,0.025,4.72,1.29,0.116,0.05,271,39,1359,8,3,0.005
V97484,168,0.005,0.036,4.57,1.011,0.099,0.047,345,49,1350,8,4,0.005
V97482,172,0.005,0.029,4.58,1.165,0.106,0.049,280,39,1386,8,4,0.004
V97481,170,0.005,0.028,4.68,1.2,0.106,0.047,318,45,1389,8,0,0.003
V97480,171,0.005,0.029,4.64,0.98,0.092,0.043,303,47,1372,7,4,0.006
V97479,171,0.005,0.037,4.58,0.59,0.069,0.043,315,44,1389,9,4,0.008
V97478,177,0.005,0.032,4.56,0.716,0.083,0.047,315,45,1394,8,4,0.005
V97477,150,0.005,0.037,4.59,0.792,0.084,0.046,302,46,1363,8,3,0.005
V97476,168,0.005,0.034,4.56,1.366,0.109,0.042,295,45,1340,9,4,0.003
V97475,162,0.005,0.034,4.62,1.06,0.094,0.043,312,44,1332,8,4,0.003
V97474,167,0.005,0.03,4.59,0.74,0.083,0.045,302,43,1349,8,3,0.004
V97471,167,0.005,0.035,4.55,0.62,0.075,0.047,326,49,1379,8,4,0.005
V97470,166,0.005,0.038,4.61,0.82,0.073,0.047,333,48,1393,9,5,0.006
V97468,173,0.005,0.036,4.53,0.646,0.071,0.045,337,47,1410,9,4,0.006
V97466,160,0.005,0.032,4.54,0.575,0.066,0.045,308,43,1421,8,4,0.006
V97465,165,0.005,0.032,4.56,0.691,0.078,0.044,306,44,1420,8,4,0.005
V97464,169,0.005,0.035,4.57,0.74,0.074,0.044,321,45,1409,8,4,0.009
V97463,165,0.005,0.045,4.58,0.554,0.062,0.04,392,55,1367,11,5,0.007
V97462,163,0.005,0.035,4.59,0.643,0.068,0.046,323,45,1421,8,4,0.01
V97461,165,0.005,0.034,4.55,0.664,0.07,0.043,351,45,1482,9,4,0.006
V97460,167,0.005,0.047,4.57,0.663,0.07,0.044,339,47,1311,9,4,0.008
V97459,161,0.005,0.044,4.54,0.577,0.069,0.044,363,51,1335,9,4,0.011
V97458,163,0.005,0.04,4.56,0.537,0.068,0.044,343,49,1357,9,5,0.005
V97457,160,0.005,0.036,4.61,0.709,0.073,0.046,321,45,1401,8,4,0.007
V97456,172,0.005,0.04,4.63,0.726,0.078,0.045,339,48,1405,9,5,0.011
V97454,172,0.005,0.04,4.55,0.531,0.064,0.04,320,46,1376,9,5,0.012
V97453,171,0.005,0.036,4.58,0.571,0.067,0.046,320,46,1428,9,4,0.007
V97452,166,0.005,0.034,4.6,0.676,0.074,0.047,310,44,1408,8,3,0.005
V97451,170,0.005,0.031,4.58,0.859,0.083,0.044,336,48,,10,5,0.005
